id,name,description,address,floor,lat,lng,restricted,restriction,disabled_access,url,phone_number,twitter_screen_name,facebook_url,atmosphere_disciplined,atmosphere_relaxed,atmosphere_historic,atmosphere_modern,atmosphere_inspiring,atmosphere_cosy,atmosphere_social,atmosphere_friendly,facility_food_drink,facility_daylight,facility_views,facility_large_desks,facility_free_wifi,facility_no_wifi,facility_computers,facility_laptops_allowed,facility_sockets,facility_signal,facility_printers_copiers,facility_whiteboards,facility_projector,facility_outdoor_seating,facility_bookable,facility_toilets,facility_refreshments,facility_break,expensive,created_at,updated_at,access_id,space_type_id,library_id,noise_id,work_private,work_close,work_friends,work_group,term_time_hours_id,out_of_term_hours_id,email_address,editors,facility_wheelchair_accessible,facility_blue_badge_parking,facility_accessible_toilets,facility_induction_loops,facility_adjustable_furniture,facility_individual_study_space,facility_gender_neutral_toilets,facility_bike_racks,facility_smoking_area,facility_baby_changing,facility_prayer_room,opentimes_before_9am,opentimes_after_7pm,opentimes_saturday,opentimes_sunday,booking_url
18,Cafe de Paris,"Small, relaxed corner café serving a range of continental style cakes, pastries and sandwiches. A couple of small outdoor tables on the pavement.","68 Mill Rd, Cambridge, CB1 2AS",,52.20045,0.13601,f,,t,,01223 300850,,,f,t,f,f,f,f,t,t,t,t,f,f,f,f,f,t,f,t,f,f,f,t,f,t,t,f,,52:07.1,58:04.8,4,2,,5,f,t,t,f,1185,1186,,,f,f,f,f,f,f,f,f,f,f,f,,,,,
17,Caffe Nero (Fitzroy St),Italian coffee chain near Grafton Centre. Plenty of seating upstairs too.,"22 Fitzroy St, 
Cambridge, 
CB1 1EW.",,52.20666,0.13034,f,,f,http://www.caffenero.co.uk,01223 359656,,caffenero,f,t,f,f,f,f,t,t,t,t,f,f,t,f,f,t,f,t,f,f,f,f,f,f,t,f,,52:07.0,23:24.1,4,2,,5,f,t,t,f,1191,1192,enquiries@caffenero.com,,f,f,f,f,f,f,f,f,f,f,f,,,,,
104,Seeley Library,"The Seeley Library entrance is on the ground floor of the History Faculty building on the Sidgwick Site. Most desks have plugs and WIFI is available. There are also Managed Cluster computers with a printer, and a photocopier.

See the JCR space for an area suitable for group work with a café, seating, tables and WIFI. Found on the first floor of the Faculty.","Faculty of History
West Road
Cambridge
CB3 9EF",Ground floor entrance,52.20205,0.10859,f,None,t,http://www.hist.cam.ac.uk/seeley-library,01223-335335,TheSeeleyLib,,f,t,f,t,t,f,f,t,f,t,f,t,t,f,t,t,t,t,t,f,f,f,f,t,t,t,,52:11.0,32:55.0,3,5,22,2,t,t,f,f,1729,1730,seeley@hist.cam.ac.uk,"np254@cam.ac.uk, rw455@cam.ac.uk, su10001@cam.ac.uk",t,f,t,f,f,f,f,t,f,f,f,,,,,
209,Starbucks: Regent Street,"Modern, spacious coffee shop with a large table suitable for working together or with lots of kit. Laptop friendly with bar style tables and chairs around the sides of the space. Plug points available. Environment very suited to studying.","43 Regent St
Cambridge 
CB2 1AB",Ground,52.201017,0.125995,f,,,https://www.starbucks.co.uk/store-locator/store/1015476/cambridge-regent-st-38-40-regent-street-cambridge-eng-cb-2-1-dp-gb,+44(0)1223 354941,starbucks,,f,t,f,t,f,t,t,t,t,t,t,t,t,f,f,t,t,t,f,f,f,f,f,t,t,t,1,57:53.4,57:53.4,4,5,,4,f,t,t,t,1861,1862,,,t,f,t,f,f,f,f,t,f,f,f,,,,,
125,Costa Coffee (Sidney Street),"Counter-service coffee chain offering hot drinks, iced coolers, sweet snacks and sandwiches.","25 Sidney St, Cambridge CB2 3HW",,52.20658,0.12055,f,,f,,,,,f,t,f,f,f,f,t,t,t,f,f,f,t,f,f,t,t,f,f,f,f,f,f,t,t,t,3,51:52.5,00:49.4,4,2,,4,f,t,t,t,1879,1880,,,f,f,f,f,f,f,f,f,f,f,f,,,,,
19,Caffe Nero (Market St),Italian coffee chain.,"11 Market St,
Cambridge,
CB2 3PA.",,52.20604,0.11979,f,,t,http://www.caffenero.co.uk,01223 307 728,,caffenero,f,t,f,f,f,f,t,t,t,f,f,f,t,f,f,t,f,t,f,f,f,f,f,t,t,f,,52:07.2,36:25.0,4,2,,5,f,t,t,f,1193,1194,,,f,f,f,f,f,f,f,f,f,f,f,,,,,
3,Costa Coffee (Grand Arcade),"A small seating area on the ground floor of the Grand Arcade in quite an open area, so lots of people passing by. ","Unit K5, Grand Arcade,
St Andrews Street,
Cambridge, CB2 3AX.",,52.20399,0.12173,f,,t,http://www.costa.co.uk/,01223 305347,CostaCoffee,CostaCoffee,f,t,f,f,f,f,t,t,t,f,f,f,t,f,f,t,f,t,f,f,f,f,f,t,t,f,,52:05.5,02:53.2,4,2,,4,f,f,t,f,1195,1196,,,f,f,f,f,f,f,f,f,f,f,f,,,,,
21,Jamaica Blue (Lion Yard/Grand Arcade),Table service café with friendly staff and lovely food and coffee. ,"Grand Arcade,
St Andrews Street,
Cambridge,
CB2 3AX.",Second,52.204556,0.120761,f,,t,http://www.jamaicablue.co.uk,01223 308 781,,Jamaica-Blue-UK,f,t,f,f,f,f,t,t,t,f,f,f,t,f,f,t,f,t,f,f,f,f,f,t,t,f,4,52:07.3,21:00.5,4,2,,3,f,t,t,f,1197,1198,info@jamaicablue.co.uk,,f,f,f,f,f,f,f,f,f,f,f,,,,,
157,Starbucks (Christ's Lane),Part of the Starbucks chain.,"Unit 4
6 Christs Lane
Cambridge
ENG
CB1 1NP",,52.205063,0.123027,f,,f,http://www.starbucks.co.uk/store-locator/search/detail/1012127,01223 305291,,,f,t,f,t,f,t,t,f,t,f,f,f,t,f,f,t,f,f,f,f,f,t,f,t,t,f,3,26:04.1,26:04.1,4,2,,5,f,f,f,f,1451,1452,,,f,f,f,f,f,f,f,f,f,f,f,,,,,
36,Cambridge Judge Business School Cafe,"Situated on the first floor of Cambridge Judge Business School, this cafe offers hot and cold drinks, as well as sandwiches and snacks. An open and light space, it offers tables for working in groups, or alone, as well as some comfy sofa seating.","Cambridge Judge Business School, Trumpington Street, Cambridge, CB2 1AG",First,52.19998,0.12171,f,,t,http://www.unicen.cam.ac.uk/food-and-drink/places-eat/out-university-centre/cafe-judge-business-school,,,,f,t,f,t,t,f,t,t,t,t,t,f,t,f,f,t,t,t,f,f,f,f,f,t,t,t,2,52:08.7,47:23.5,3,2,8,4,t,t,t,t,961,962,,,f,f,f,f,f,f,f,f,f,f,f,,,,,
206,Cambridge Cookery School Cafe,"Large, airy cafe serving excellent coffee, croissants and international cuisine.","School House
Homerton Gardens
Purbeck Road
Cambridge
CB2 8EB
",,52.186873,0.132935,f,,,http://www.cambridgecookeryschool.com/home/cafe,01223 247620,ccookeryschool,Cambridge-Cookery-School,f,t,f,t,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,t,t,5,54:15.7,54:15.7,4,2,,4,f,f,t,f,1855,1856,,,f,f,f,f,f,f,f,f,f,f,f,,,,,
159,Charlie's Coffee Company,"Independent, family-owned cafe, famed for its coffee and its pizza","44-45 Burleigh Street
Cambridge",,52.205561,0.133506,f,,f,http://www.charliescoffee.co/,01223 478545 ,CharliesCambs,CharliesCoffeeCo,f,t,f,t,f,t,t,t,t,t,f,f,t,f,f,t,f,t,f,f,f,t,f,t,t,t,3,29:07.3,29:07.3,4,2,,4,f,f,t,f,1457,1458,info@charliescoffee.co,,f,f,f,f,f,f,f,f,f,f,f,,,,,
228,Whale Cafe,"Cafe in the Zoology Museum, above the museum reception. Getting busy during the school holidays.","New Museum Site
Downing Street
Cambridge, CB2 3EJ",,52.203289,0.120696,f,,,http://www.unicen.cam.ac.uk/food-and-drink/places-eat/out-university-centre/whale-cafe,,TheWhaleCafe1,,f,t,f,t,f,f,t,f,f,t,f,t,t,f,f,t,f,t,f,f,f,f,f,t,t,f,3,55:54.4,55:54.4,4,2,,4,t,f,t,f,2025,2026,,,f,f,f,f,f,f,f,f,f,f,f,,,,,
2,Starbucks (Grand Arcade),On the first floor of the Grand Arcade near the lifts by John Lewis. Fairly busy but generally quieter than the ground floor of the shopping centre. ,"Unit 35, Grand Arcade,
St Andrew's St,
Cambridge,
CB2 3AX.",1st floor,52.20379,0.12144,f,,t,http://www.starbucks.co.uk,01223 304746,starbucksuk,starbucksuk,f,t,f,f,f,f,t,t,t,f,f,f,t,f,f,t,f,t,f,f,f,f,f,t,t,f,,52:05.4,47:12.2,4,2,,3,f,t,t,f,1205,1206,,,f,f,f,f,f,f,f,f,f,f,f,,,,,
16,Livingstones Coffee Shop,"Built in the space between a church and the building next door, this cafe offers food, homemade cakes and drinks. Friendly customer service.","43 St Andrew's Street, City Centre, Cambridge, CB2 3AR.",,52.20284,0.123186,f,,f,,,,,f,t,f,f,f,t,t,t,t,f,f,f,f,f,f,t,f,t,f,f,f,f,f,f,t,t,3,52:06.9,48:42.5,4,2,,3,f,t,t,f,1207,1208,,,f,f,f,f,f,f,f,f,f,f,f,,,,,
229,Zio Mario,"A cafe offering artisan coffee, pasta and baked goods. A bright space with good seating and some background noise. Limited plug sockets.","21, Station Place, Cambridge CB1 2FP",,52.193225,0.136216,f,,,https://www.ziomario.co.uk/,01223 324993,,ziomariocambridge,f,t,f,t,f,f,t,t,f,t,f,f,t,f,f,t,t,t,f,f,f,f,f,t,t,f,3,59:06.8,59:06.8,4,2,,5,f,t,t,f,2027,2028,info@ziomario.co.uk,,t,f,t,f,f,f,f,f,f,t,f,,,,,
230,Espresso Lane,"A small cafe in the centre of Cambridge. This café is tucked away down a lane and has limited seating. They sell food and drinks, as well as plenty of Vegetarian options. Most likely will need to make a purchase to study here.","1 Botolph Ln, Cambridge CB2 3RD",,52.20223,0.118097,f,,,https://www.espressolane.co.uk/,7946640113,,pg/EspressoLaneCambridge/photos/?ref=page_internal,f,t,f,f,f,t,f,t,f,t,t,f,f,f,f,t,f,t,f,f,f,t,f,f,t,t,2,00:02.1,00:02.1,4,2,,3,t,f,f,f,2031,2032, hello@www.espressolane.co.uk,,t,f,f,f,t,f,f,f,f,f,f,,,,,
33,"The Buttery, Sidgwick Site",Inexpensive food and drink (including pastries) on the Sigdwick site. Picnic benches outside are a great spot if sunny. ,"Sidgwick Avenue, Cambridge, CB3 9DD",Ground,52.20078,0.10854,f,,t,http://www.unicen.cam.ac.uk/food-and-drink/places-eat/out-university-centre/buttery-sidgwick-site,,,,f,t,f,f,f,f,t,t,t,t,f,f,t,f,f,t,f,f,f,f,f,t,f,f,t,t,1,52:08.5,10:08.8,4,2,,5,f,t,t,t,1299,1300,,,f,f,f,f,f,f,f,f,f,f,f,,,,,
44,The Anchor,Centrally-located pub with views over the River Cam. Good spot for a pint while getting some work done.,"Silver Street, Cambridge, CB3 9EL",,52.201976,0.115763,f,,t,http://www.metropolitanpubcompany.com/our-pubs/the-anchor/,01223 353554,anchorcambridge,,f,t,t,f,f,t,t,t,t,t,t,f,t,f,f,t,t,t,f,f,f,t,f,t,t,t,2,52:09.6,00:49.0,4,1,,5,t,t,t,t,887,888,,,f,f,f,f,f,f,f,f,f,f,f,,,,,
45,The Copper Kettle (Agora),"Situated directly opposite King's College, The Copper Kettle is the perfect place to sit and watch the world go by. With huge windows looking out onto King's Parade, you can people-watch while getting some work done.","4 King's Parade, Cambridge, CB2 1SJ",,52.204028,0.117738,f,,f,http://thecopperkettle.weebly.com/,01223 308448,CopperKettleCam,copper.kettlecambridge?fref=nf,f,t,t,f,t,f,t,t,t,t,t,f,t,f,f,t,t,t,f,f,f,t,f,t,t,t,4,52:09.8,20:19.2,4,7,,3,t,t,t,t,665,666,,,f,f,f,f,f,f,f,f,f,f,f,,,,,
231,The Garden Kitchen,Cafe on Mill Road serving hot and cold breakfast and lunch.,"82 Mill Rd, Cambridge CB1 3AS",,52.200239,0.136559,f,,,http://www.thegardenkitchencambridge.co.uk/,01223 315205,82gardenkitchen,gardenkitchencambridge/,f,t,f,t,f,t,f,f,f,t,f,f,f,f,f,f,f,t,f,f,f,f,f,t,t,f,3,09:02.3,09:02.3,4,2,,5,f,t,f,f,2033,2034,info@thegardenkitchencambridge.co.uk,,f,f,f,f,f,f,f,f,f,f,f,,,,,
48,Hot Numbers Coffee (Trumpington Street),"This independent medium-sized cafe is opposite Engineering and close to the business school and the Fitzwilliam Museum. It is very popular so is often busy, sells good food and excellent coffee.","4 Trumpington Street, Cambridge, CB2 1QA",,52.198552,0.12186,f,,f,http://hotnumberscoffee.co.uk/,01223 300730,hotnumbers,HotNumbersCoffee,f,t,f,t,f,f,t,t,t,t,f,f,t,f,f,t,f,t,f,f,f,t,f,f,f,f,3,52:10.1,02:25.8,4,2,,5,t,t,t,f,1103,1104,,,f,f,f,f,f,f,f,f,f,f,f,,,,,
49,Crepe Affaire,"Fairly new to Cambridge, this Crepe house is pretty popular at the weekend. Suprisingly warm the day we visited (nothing to do with the weather outside) but not too bad for working in a small group","66 Bridge Street, Cambridge CB2 1UR",,52.208214,0.118527,f,,t,http://www.crepeaffaire.com/uk/,01223 362662,crepeaffaire,crepeaffaire,f,t,f,f,f,t,t,t,t,t,f,f,t,f,f,t,f,t,f,f,f,f,f,t,f,f,3,52:10.1,55:13.2,4,2,,5,f,t,t,t,731,732,,,f,f,f,f,f,f,f,f,f,f,f,,,,,
43,Grads Cafe,Open space with lots of natural light from the huge windows that make up two of the walls. Mixed seating from tables to comfy chairs makes this a good place to study.,"The University Centre, Granta Place, Cambridge, CB2 1RU",Third,52.201127,0.116217,f,,t,http://www.unicen.cam.ac.uk/food-and-drink/places-eat/within-university-centre/grads-cafe,,,,f,t,f,t,t,t,t,t,t,t,t,f,t,f,f,t,t,t,f,f,f,f,f,t,t,t,2,52:09.5,36:48.6,3,2,,5,t,t,t,t,899,900,,,f,f,f,f,f,f,f,f,f,f,f,,,,,
42,Fitzbillies,"Fitzbillies is a bit of a Cambridge institution and is well-known for their chelsea buns. A good, vibrant cafe to work in. Very popular first thing in the morning for people looking to get a coffee and do some work. Has excellent wifi.","Trumpington Street, Cambridge, Cambs, CB2 1RG",,52.202071,0.118074,f,,t,http://www.fitzbillies.com/,01223 352500,fitzbillies,pages/Fitzbillies/110779695673229?rf=118377978215800,f,t,f,t,f,t,t,t,t,t,f,f,t,f,f,t,t,f,f,f,f,f,f,t,t,t,3,52:09.4,13:37.8,4,2,,3,t,t,t,t,783,784,,,f,f,f,f,f,f,f,f,f,f,f,,,,,
38,Cambridge Judge Business School Information Centre - Mezzanine,"Situated on the mezzanine floor of the Cambridge Judge Business School, this space has desks for solo work as well as PCs, and a number of beanbags.","Cambridge Judge Business School, Trumpington Street, Cambridge, CB2 1AG",Mezzanine,52.19998,0.12171,t,Members of the University only. Others by prior arrangement. Mezzanine entrance swipe card access only.,t,http://www.jbs.cam.ac.uk/infolib,01223 339599,CJBSInfoLib,pages/Cambridge-Judge-Business-School-Information-and-Library-Services/25664826431,t,t,f,t,t,f,f,t,t,t,f,f,t,f,t,t,t,t,t,f,f,f,f,t,t,t,,52:09.1,04:07.1,3,5,8,2,t,t,t,f,1109,1110,,,f,f,f,f,f,f,f,f,f,f,f,,,,,
132,The Maypole,"Friendly, family-run, free house pub with plenty of outdoor seating and good, homemade food. A popular place to meet up with friends, but can get very busy.","20A Portugal Pl, Cambridge CB5 8AF",,52.20967,0.11924,f,,f,http://www.maypolefreehouse.co.uk,01223 352999,,,f,t,f,f,f,f,t,t,t,t,f,f,f,f,f,t,f,t,f,f,f,t,f,t,t,f,3,03:29.3,03:29.3,4,1,,4,f,t,t,f,1243,1244,v.castiglione@ntlworld.com,,f,f,f,f,f,f,f,f,f,f,f,,,,,
41,Computer Laboratory Cafe,"Bright and airy space in the computer lab, in non busy times you should be able to sit and work without having to keep buying coffee.","William Gates Building, JJ Thompson Avenue, Cambridge CB3 0FD",Ground,52.211094,0.091794,f,,t,http://www.unicen.cam.ac.uk/food-and-drink/places-eat/out-university-centre/computer-laboratory-cafe-william-gates-building,,,,f,t,f,t,f,f,t,t,t,t,f,t,t,f,f,t,f,t,f,f,f,t,f,t,f,f,2,52:09.3,28:34.4,3,2,,3,f,t,t,t,905,906,,,f,f,f,f,f,f,f,f,f,f,f,,,,,
40,West Café (Hauser Forum),The Cafe at the Hauser Forum in West Cambridge is privately run and serves Costa Coffee. It gets busy at lunchtime.,"Hauser Forum, 3 Charles Babbage Rd, Cambridge, CB3 0GT",,52.208812,0.089555,f,,t,http://www.unicen.cam.ac.uk/food-and-drink/places-eat/out-university-centre/west-cafe,01223 746 800,,,f,t,f,t,f,f,t,t,t,t,t,f,t,f,f,t,f,t,f,f,f,t,f,t,f,f,3,52:09.3,40:08.7,4,2,,4,f,t,t,t,915,916,,,f,f,f,f,f,f,f,f,f,f,f,,,,,
51,Caffe Nero (Kings Parade),"In a busy location, this is usually quite full of tourists in the summer. The further back you go the more comfortable the seating. They don't advertise that they sell Flat Whites but they do.","Cambridge Kings Parade, 17 Kings Parade Cambridge, CB2 1SP",,52.204851,0.117866,f,,f,http://www.caffenero.co.uk/default.aspx,01223 327 789,,caffenero,f,t,f,f,t,t,t,t,t,f,t,f,t,f,f,t,f,t,f,f,f,t,f,t,f,f,3,52:10.3,50:42.6,4,2,,5,f,t,t,f,975,976,,,f,f,f,f,f,f,f,f,f,f,f,,,,,
232,Liutaio,Cafe and music shop with Eastern and Western food. Quiet in the day. Music shop selling bowed stringed instruments adds to the vibe.,"224 Mill Road
Cambridge
CB1 3NF",1,52.197356,0.145386,f,,,http://www.liutaio.co.uk/,,,liutaiomusiccafe,f,t,t,f,t,t,t,f,f,t,f,f,f,f,f,t,f,t,f,f,f,f,f,f,t,t,3,13:12.7,13:12.7,4,2,,3,f,t,t,f,2035,2036,,,t,f,t,f,f,f,f,f,f,f,f,,,,,
55,Tatties,A Cambridge institution! A cafe with plenty of seating including outdoor tables.,"11 Sussex St, Hobson St, Cambridge CB1 1PA",,52.206904,0.121241,f,,f,,,,,f,t,f,f,f,f,t,f,t,t,f,f,t,f,f,t,f,t,f,f,f,t,f,t,t,t,2,52:10.7,57:08.6,4,2,,4,f,t,t,f,877,878,,,f,f,f,f,f,f,f,f,f,f,f,,,,,
52,"Trockel, Ulmann & Freunde","Cosy German cafe, famous for its soups. Central, but a little off the beaten track.","13 Pembroke Street, Cambridge CB2 3QY",,52.202379,0.119197,f,,f,,01223 460923,,,f,t,f,f,f,t,t,t,t,f,f,f,t,f,f,t,f,t,f,f,f,f,f,t,f,f,3,52:10.4,05:00.7,4,2,,3,t,t,t,f,1085,1086,,,f,f,f,f,f,f,f,f,f,f,f,,,,,
208,The Senate,"Mediterranean in style, the Senate is a busy cafe close to the centre of town. It's picturesque location means it's popular with visitors to Cambridge.","1 St Mary's Passage,
Cambridge,
CB2 3PQ ",Ground,52.204986,0.118281,f,,,http://www.thesenatebistro.com/,01223 315641,senatebar,TheSenateBistro,f,f,f,t,t,f,t,t,t,t,t,f,f,f,f,f,f,t,f,f,f,t,f,t,t,t,5,57:06.2,57:06.2,4,2,,4,f,t,t,f,1859,1860,thesenate2015@gmail.com,,f,f,f,f,f,f,f,f,f,f,f,,,,,
57,The Pint Shop,"Pub of the keg, cask and gin variety. Pretty fancy and pricey but a nice environment to work in on a quiet afternoon.","10 Peas Hill, Cambridge, CB2 3PN",,52.204183,0.11913,f,,t,http://pintshop.co.uk/,01223 352293,PintShop,pages/Pint-Shop/401807443242547,f,f,f,t,f,t,t,t,t,f,f,f,f,t,f,t,f,t,f,f,f,t,f,t,f,f,5,52:10.9,31:54.5,4,1,,4,f,t,t,t,909,910,,,f,f,f,f,f,f,f,f,f,f,f,,,,,
53,Cafe Abantu,"Hip and busy cafe in the centre of Cambridge with good coffee, good food and cosy seating. ","42 Hobson St
Cambridge CB1 3NL",,52.206968,0.121439,f,,f,http://www.cafe-abantu.co.uk/,07884 317836,,Cafeabantu,f,t,f,t,t,t,t,t,t,t,f,f,t,f,f,t,f,t,f,f,f,t,f,t,t,t,4,52:10.4,38:20.4,4,2,,4,f,t,t,t,1983,1984,wendy@cafe-abantu.co.uk,,f,f,f,f,f,f,f,f,f,f,f,,,,,
31,English - IT Training Suite,A bookable group study room for about twelve people with laptops and projector by request.,"9 West Road, Cambridge, CB3 9DP",1,52.202251,0.108416,f,,t,http://lib.english.cam.ac.uk/,01223 335077,eflcam,pages/English-Faculty-Library-University-of-Cambridge/28041366487?fref=ts,f,t,f,t,t,f,f,f,f,t,f,t,t,f,f,t,t,t,f,f,t,f,t,t,t,t,1,52:08.3,27:25.1,3,5,6,3,t,t,t,t,1715,1716,,"eat21@cam.ac.uk, brs35@cam.ac.uk",t,f,t,f,f,f,t,t,t,f,f,,,,,
59,Espresso Library,"Trendy cycling cafe with a social and sporty vibe, though often populated by people working on laptops.","210 East Road, Cambridge, Cambridgeshire, CB1 1BG",,52.203136,0.131696,f,,t,https://www.espressolibrary.com/,01223 367333,EspressoLibrary,espressolibrary,f,t,f,t,t,f,t,t,t,t,f,t,t,f,f,t,t,t,f,f,f,t,f,t,t,t,4,52:11.0,52:01.4,4,2,,4,f,t,t,t,2069,2070,hello@espressolibrary.com,,f,f,f,f,f,f,f,t,f,f,f,,,,,
