,"Basic info","Some basic information about the space",Text description of space,Who can use the space?,Type of space,In library,Street address,Floor,Decimal GPS coordinates (lattitude) eg 52.197949,Decimal GPS coordinates (longitude) eg 0.122951,Opening hours ,Access restrictions,Description of access restriction,Disabled access,Website URL,Phone number,Twitter,Facebook page,"Atmosphere","This section is about the atmosphere of the space. Students select different atmosphere's for their different moods and different tasks.",Would you describe the atmosphere of this space as… (place a X in all that apply),Disciplined?,Relaxed or informal?,Historic?,Modern?,Inspiring or thought provoking?,Cosy?,Social?,Friendly or welcoming?,,Which best describes the typical noise level in this space?,Strictly silent,Whispers,Background chatter,Animated discussion,Music playing,"Features & facilities","This sections is about the features of the space and the facilities available. At different times students need different facilities and features from working spaces.Place a X in all that apply.",Food & drink allowed,Natural daylight,Attractive views out of the window,Large desks,Free Wifi,No WiFi,Computers,Laptops allowed,Plug sockets,Phone signal,Printers and copiers,Whiteboards,Projector,Outdoor seating,Bookable,Toilets nearby,Close to refreshments,Close to a place to take a break,,"If this is a café, restaurant or bar how expensive is it?(1 = cheap, 5 = expensive)",,Is this space suitable for people who wish to work...,...in private?,...close to others?,...alongside friends?,...in a group?,,"Tagging","Finally type some tags below that might be used to describe this space. Try to choose tags that are distinct from the questions above. Please list them in a single field, separated by a comma.",Tags
"Enter space name below e.g. first floor west, the red bean bags or relaxed reading space ",1st Floor,,Large quantity of study spaces with good views of the main site. A lot of natural light and generally fairly quiet place to work. ,Anyone (public),Library space,Betty and Gordon Moore LIbrary,"Wilberforce Road, Cambridge CB3 0WD",Lower ground,52.20972222,0.1066666667,09:00-21:00 (Monday-Friday); 09:00-17:00 (Monday-Friday outside Full Term); 09:00-13:00 (Saturday),no,,yes,http://www.lib.cam.ac.uk/BGML/index.html,01223 765670,,,,,,X,,,X,X,X,,,,Whispers,,x,,,,,,x,x,x,x,x, ,x,x,x,x,x,,,x,,x,x,x,,,,,yes,yes,yes,no,,,,"bottled water only, internet access, wireless, natural science tripos, inter-library loans, 24 hour opening, bookable study areas, photocopiers, computing facilities"
"Enter space name below e.g. first floor west, the red bean bags or relaxed reading space ",2nd Floor,,"A smaller area than the first floor but if you don't mind the sound ot the wind whistling through the roof, this is quite pleasant place to work. Also, excellent views of the rest of the site including the grass roof of the central core building.",Anyone (public),Library space,Betty and Gordon Moore LIbrary,"Wilberforce Road, Cambridge CB3 0WD",Lower ground ,52.20972222,0.1066666667,09:00-21:00 (Monday-Friday); 09:00-17:00 (Monday-Friday outside Full Term); 09:00-13:00 (Saturday),no,,yes,http://www.lib.cam.ac.uk/BGML/index.html,01223 765670,,,,,,X,,,X,X,X,,,,Whispers,,x,,,,,,x,x,x,x,x, ,x,x,x,x,x,,,x,,x,x,x,,,,,yes,yes,yes,no,,,,"bottled water only, internet access, wireless, natural science tripos, inter-library loans, 24 hour opening, bookable study areas, photocopiers, computing facilities"
"Enter space name below e.g. first floor west, the red bean bags or relaxed reading space ",Non-Fiction and Reference floor,,"Brilliant for group study, but don't forget being a public library you are likely to get groups of A-Level & GSCE students working together here in peak college/school term.",Anyone (public),Library space,Cambridge Central Public Library,"7 Lion Yard, Grand Arcade, Cambridge, CB2 3QD",Third,52.204396,0.120511,9:00-18:00 (Monday-Tuesday); 9:00-19:00 (Wednesday); 9:00-18:00 (Thursday-Friday); 10:00-18:00 (Saturday); 12:00-16:00 (Sunday)  ,no,,yes,http://www.cambridgeshire.gov.uk/directory_record/3175/central_library_cambridge,0345 045 5225,@cambslib,https://www.facebook.com/pages/Central-Library-Cambridge/106156113195,,,,,x,,x,,,x,,,Background chatter,,,x,,,,,,x,x,x,x,,x,x,,x,x,,,,,x,x,x,,,,,,,,,,,,"bottled water only, comfy seating, airy"
"Enter space name below e.g. first floor west, the red bean bags or relaxed reading space ","Non-Fiction Floor
",,"This floor has the most nooks, for finding a place of your own. But, it gets full very quickly so best to come early.
",Anyone (public),Library space,Cambridge Central Public Library,"7 Lion Yard, Grand Arcade, Cambridge, CB2 3QD",Second,52.204396,0.120511,9:00-18:00 (Monday-Tuesday); 9:00-19:00 (Wednesday); 9:00-18:00 (Thursday-Friday); 10:00-18:00 (Saturday); 12:00-16:00 (Sunday)  ,no,,yes,http://www.cambridgeshire.gov.uk/directory_record/3175/central_library_cambridge,0345 045 5225,@cambslib,https://www.facebook.com/pages/Central-Library-Cambridge/106156113195,,,,x,,,x,,,,,,Whispers,,x,,,,,,,,,x,x,,x,x,,x,x,,,,,x,,,,,,,,,,,,,,"nooks, bottled water only"
"Enter space name below e.g. first floor west, the red bean bags or relaxed reading space ",Fiction and Children's Library Floor,,"This is likely to be busiest floor as well as being the dedicated Children's Library space. 
",Anyone (public),Library space,Cambridge Central Public Library,"7 Lion Yard, Grand Arcade, Cambridge, CB2 3QD",First,52.204396,0.120511,9:00-18:00 (Monday-Tuesday); 9:00-19:00 (Wednesday); 9:00-18:00 (Thursday-Friday); 10:00-18:00 (Saturday); 12:00-16:00 (Sunday)  ,no,,yes,http://www.cambridgeshire.gov.uk/directory_record/3175/central_library_cambridge,0345 045 5225,@cambslib,https://www.facebook.com/pages/Central-Library-Cambridge/106156113195,,,,,x,,x,,,x,,,Background chatter,,,x,,,,,,,,,x,,,x,,x,x,,,,,,,,,,,,,,,,,,,bottled water only
"Enter space name below e.g. first floor west, the red bean bags or relaxed reading space ",Reading Room,,The reading room is the quietest room in the library and is the only designated laptop/typing free zone. There are large desk spaces as well as two sofas and a comfy chair. Each desk has an individual lamp and power sockets.,College,Library Space,"Jerwood Library, Trinity Hall","Trinity Hall, Cambridge, CB2 1TJ",Ground,52.205826,0.114255,24/7 opening,yes,Current college members only,yes,https://www.trinhall.cam.ac.uk/about/library/jerwood/,01223 332546,@JerwoodLibrary,https://www.facebook.com/JerwoodLibraryTrinHall,,,,x,,x,,x,,,x,,Strictly silent,x,,,,,,,x,x,x,x,x,,,,x,,x,,,,,x,x,x,,,,,no,yes,no,no,,,,"no typing, assignments, focus, gender neutral toilets"
"Enter space name below e.g. first floor west, the red bean bags or relaxed reading space ",Basement Study Room,,The basement study room has large desks with individual lamps and power sockets.,College,Library Space,"Jerwood Library, Trinity Hall","Trinity Hall, Cambridge, CB2 1TJ",Lower Ground ,52.205826,0.114255,,yes ,Current college members only,yes ,https://www.trinhall.cam.ac.uk/about/library/jerwood/,01223 332546,@JerwoodLibrary,https://www.facebook.com/JerwoodLibraryTrinHall,,,,x,x,,x,,,,x,,Whispers,,"x (Quiet, occasional whispered conversations ok)",,,,,,x,,,x,x,,,x,x,,x,,,,,x,x,x,,,,,no,yes,yes,no,,,,"noise, attractive views, gender neutral toilets"
"Enter space name below e.g. first floor west, the red bean bags or relaxed reading space ",Mezzanine Study Room,,"The mezzanine study room has large desks, including some with views of the river and Latham lawn. There are two comfortable window seats. ",College,Library Space,"Jerwood Library, Trinity Hall","Trinity Hall, Cambridge, CB2 1TJ",Mezzanine  ,52.205826,0.114255,,yes ,Current college members only,yes ,https://www.trinhall.cam.ac.uk/about/library/jerwood/,01223 332546,@JerwoodLibrary,https://www.facebook.com/JerwoodLibraryTrinHall,,,,x,x,,x,x,x,,x,,Whispers,,"x (Quiet, occasional whispered conversations ok)",,,,,,x,,x,x,x,,,x,x,x,x,,,,,x,x,x,,,,,no,yes,yes,no,,,,"noise, attractive views, gender neutral toilets"
"Enter space name below e.g. first floor west, the red bean bags or relaxed reading space ",1st Floor Study Room,,The mezzanine study room has large desks all facing the river or Latham lawn.,College,Library Space,"Jerwood Library, Trinity Hall","Trinity Hall, Cambridge, CB2 1TJ",First,52.205826,0.114255,,yes ,Current college members only,yes ,https://www.trinhall.cam.ac.uk/about/library/jerwood/,01223 332546,@JerwoodLibrary,https://www.facebook.com/JerwoodLibraryTrinHall,,,,x,x,,x,x,x,,x,,Whispers,,"x (Quiet, occasional whispered conversations ok)",,,,,,x,,x,x,x,,,x,x,x,x ,,,,,x,x,x,,,,,no,yes,yes,no,,,,"noise, attractive views, gender neutral toilets"
"Enter space name below e.g. first floor west, the red bean bags or relaxed reading space ",Law Floor Study Room,,"The law floor study room has large desks, including some with views of the river and Latham lawn.",College,Library Space,"Jerwood Library, Trinity Hall","Trinity Hall, Cambridge, CB2 1TJ",Second,52.205826,0.114255,,yes ,Current college members only,yes ,https://www.trinhall.cam.ac.uk/about/library/jerwood/,01223 332546,@JerwoodLibrary,https://www.facebook.com/JerwoodLibraryTrinHall,,,,x,x,,x,x,x,,x,,Whispers,,"x (Quiet, occasional whispered conversations ok)",,,,,,x,,x,x,x,,,x,x,x,x ,,,,,x,x,x,,,,,yes,yes,yes,no,,,,gender neutral toilets
"Enter space name below e.g. first floor west, the red bean bags or relaxed reading space ",Computer Room,,"The computer room is located at the top of the library. It has both Mac and Windows computers, scanners and colour and black and white printers",College,Library space,"Jerwood Library, Trinity Hall","Trinity Hall, Cambridge, CB2 1TJ",Second,52.205826,0.114255,,yes ,Current college members only,no ,https://www.trinhall.cam.ac.uk/about/library/jerwood/,01223 332546,@JerwoodLibrary,https://www.facebook.com/JerwoodLibraryTrinHall,,,,x,x,,x,,,,x,,Whispers,,"x (Quiet, occasional whispered conversations ok)",,,,,,x,,,x,x,,x,x,x,x,x,,,,,x,x,x,,,,,no,yes,yes,no,,,,"varied temperature, scanners, computing facilities, Macs"
"Enter space name below e.g. first floor west, the red bean bags or relaxed reading space ",Desktop Services Room,,"The library's main computer room, with facilities for printing, as well as an e-legal deposit machine. Ten computers available here.",Members of the University,Library space,English Faculty Library,"9 West Road, Cambridge, CB3 9DP",Ground,52.202251,0.108416,Varies,no,,yes,http://lib.english.cam.ac.uk/,01223 335077,@eflcam,https://www.facebook.com/pages/English-Faculty-Library-University-of-Cambridge/28041366487?fref=ts,,,,x,,,x,,,,,,Background chatter,,,x,,,,,,,,x,x,,x,x,x,,x,,,,,x,x,x,,2,,,yes,yes,yes,no,,,,"warm, printing facilities, computing facilities, e-legal deposit"
"Enter space name below e.g. first floor west, the red bean bags or relaxed reading space ",ASNC desks,,"Located at the top of the library by the ASNC collection, this has several study spaces, computers and a B&W printer. Often used by ASNC students to save them carrying the heavy books too far.",Members of the University,Library space,English Faculty Library,"9 West Road, Cambridge, CB3 9DP",,52.202251,0.108416,Varies,no,,yes,http://lib.english.cam.ac.uk/,01223 335077,@eflcam,https://www.facebook.com/pages/English-Faculty-Library-University-of-Cambridge/28041366487?fref=ts,,,,x,x,,x,x,,,x,,Whispers,,x,,,,,,x,x,,x,x,,x,x,x,x,x,,,,,x,x,x,,2,,,yes,yes,yes,no,,,,"ASNC books, subject experts, computing facilities, printing facilities"
"Enter space name below e.g. first floor west, the red bean bags or relaxed reading space ",Balcony desks,,"Located on the first floor, with individual study carrels, and a good view of those working on the floor below.",Members of the University,Library space,English Faculty Library,"9 West Road, Cambridge, CB3 9DP",First,52.202251,0.108416,Varies,no,,no,http://lib.english.cam.ac.uk/,01223 335077,@eflcam,https://www.facebook.com/pages/English-Faculty-Library-University-of-Cambridge/28041366487?fref=ts,,,,x,x,,x,,,,,x,Whispers,,x,,,,,,x,x,,,x,,x,x,x,x,,,,,,x,x,x,,2,,,yes,yes,yes,no,,,,"individual desks, near books, subject experts"
"Enter space name below e.g. first floor west, the red bean bags or relaxed reading space ",Newman's Corner,,"Our comfy seating area, with armchairs and beanbags and often a jigsaw or two, this is a super place to relax and get some reading done.",Members of the University,Library space,English Faculty Library,"9 West Road, Cambridge, CB3 9DP",,52.202251,0.108416,Varies,no,,yes,http://lib.english.cam.ac.uk/,01223 335077,@eflcam,https://www.facebook.com/pages/English-Faculty-Library-University-of-Cambridge/28041366487?fref=ts,,,,,x,,x,x,x,,x,,Background chatter,,,x,,,,,x,x,x,,x,,,x,x,,,,,,,x,x,x,,2,,,yes,yes,yes,no,,,,"beanbags, comfy seating, near books, subject experts"
,Ground floor windows,,"Probably the main study area of the library, on the ground floor just as you come into the library. Lots of large desks, people nearby, and easy access to lots of the books.",Members of the University,Library space,English Faculty Library,"9 West Road, Cambridge, CB3 9DP",Ground,52.202251,0.108416,Varies,no,,yes,http://lib.english.cam.ac.uk/,01223 335077,@eflcam,https://www.facebook.com/pages/English-Faculty-Library-University-of-Cambridge/28041366487?fref=ts,,,,x,x,,x,x,,,x,,Whispers,,x,,,,,,x,x,x,x,x,,,x,x,,,,,,,x,x,x,,2,,,yes,yes,yes,no,,,,"light, airy, big tables, near books, subject experts, noise"
,Ground floor side desks,,"On the ground floor, and with views of the History Faculty, these desks are quieter and slightly more secluded than the open desks on the other side of the floor.",Anyone (public),Library space,English Faculty Library,"9 West Road, Cambridge, CB3 9DP",Ground,52.202251,0.108416,Varies,no,,yes,http://lib.english.cam.ac.uk/,01223 335077,@eflcam,https://www.facebook.com/pages/English-Faculty-Library-University-of-Cambridge/28041366487?fref=ts,,,,x,x,,x,x,,,x,,Whispers,,x,,,,,,x,x,,x,x,,,x,x,,,,,,,x,x,x,,2,,,yes,yes,yes,no,,,,"big tables, near books, subject experts, noise"
,Lower Ground Floor,,,Members of the University,Library space,Education Faculty Library,"184 Hills Road, Cambridge, CB2 8PQ",Lower Ground,52.18666667,0.1369444444,Varies,yes,DMB has access restrictions where Library is located; card controlled; Faculty Reception staff on duty during office hours,yes,http://www.educ.cam.ac.uk/library/,01223 767700,@edfaclib,https://www.facebook.com/pages/Education-Faculty-Library-University-of-Cambridge/638858689457909?fref=ts,,,,,,,x,x,,,x,,Whispers,,x,,,,,,,x,x,x,x,,x,x,x,x,x,,,,,x,x,x,,,,,,,,,,,,"light, attractive views, near books, noise, bottled water only, no bags, subject experts"
,Lily Pad 1,,,Members of the University,Library space,Education Faculty Library,"184 Hills Road, Cambridge, CB2 8PQ",,52.18666667,0.1369444444,Varies,yes,DMB has access restrictions where Library is located; card controlled; Faculty Reception staff on duty during office hours,yes,http://www.educ.cam.ac.uk/library/,01223 767700,@edfaclib,https://www.facebook.com/pages/Education-Faculty-Library-University-of-Cambridge/638858689457909?fref=ts,,,,,,,x,x,x,x,x,,Whispers,,x,,,,,,,x,,x,x,,,x,x,x,,,,,,x,x,x,,,,,,,,,,,,"cosy, bottled water only, no bags, subject experts"
,Lily Pad 2,,,Members of the University,Library space,Education Faculty Library,"184 Hills Road, Cambridge, CB2 8PQ",,52.18666667,0.1369444444,Varies,yes,DMB has access restrictions where Library is located; card controlled; Faculty Reception staff on duty during office hours,yes,http://www.educ.cam.ac.uk/library/,01223 767700,@edfaclib,https://www.facebook.com/pages/Education-Faculty-Library-University-of-Cambridge/638858689457909?fref=ts,,,,,,,x,x,,,x,,Whispers,,x,,,,,,,x,x,x,x,,,x,x,x,,,,,,x,x,x,,,,,,,,,,,,"light, attractive views, noise, bottled water only, no bags, subject experts"
 ,IT Training Suite,,A bookable group study room for about twelve people with laptops and projector by request.,Members of the University,Library space,English Faculty Library,"184 Hills Road, Cambridge, CB2 8PQ",,52.202251,0.108416,Varies,no,,yes,http://lib.english.cam.ac.uk/,01223 335077,@eflcam,https://www.facebook.com/pages/English-Faculty-Library-University-of-Cambridge/28041366487?fref=ts,,,,,x,x, ,x, ,, ,,Background chatter,,,x,,,,, ,x, ,x,x,,,x,x,x,,,x,,x,x,x,x,,2,,,yes,yes,yes,yes,,,,"bookable, laptops, projectors, group study room, no food or drink allowed"
,Arc Cafe,,Food and drink in the Alison Richard Building on the Sidgwick site,Anyone (public),Café,,"7 West Road, Cambridge, CB3 9DP",Ground,52.2027052,0.1078135,09:00-16:00,no,,yes,http://www.unicen.cam.ac.uk/food-and-drink/places-eat/out-university-centre/arc-cafe-alison-richard-building,,,,,,,,x,,x,,,x,x,,Animated discussion,,,,,,,,x ,x ,x,,x,,,x,x,x,,,,x,,x,x,x,,2,,,no,yes,yes,yes,,,,"food and drink, sidgwick site, hot meals, busy, noise"
,"The Buttery, Sidgwick Site",,Food and drink (including pastries) on the Sigdwick site,Anyone (public),Café,,"Sidgwick Avenue, Cambridge, CB3 9DD",Ground,52.2003923,0.1095548,08:30-16:00,no,,yes,http://www.unicen.cam.ac.uk/food-and-drink/places-eat/out-university-centre/buttery-sidgwick-site,,,,,,,,x,,,,,x,x,,Music playing,,,,,,,,x,x,,,x,,,x,,,,,,x,,,x,x,,1,,,no,yes,yes,yes,,,,"food and drink, sidgwick site, pastries, cheap coffee, small, busy"
,Faculty of Law Cafe,,A 'delicafe' located in the Faculty of Law.,Members of the University,Café,,"10 West Road, Cambridge, CB3 9DZ",Basement,52.2027052,0.1078135,,no,,yes,http://www.unicen.cam.ac.uk/food-and-drink/places-eat/out-university-centre/faculty-law-0,,,,,,,,x,,x,,,x,,,Background chatter,,,,,,,,x,,,,,,,x,,,,,,,,x,x,x,,1,,,no,yes,yes,yes,,,,"food and drink, cheap coffee"
,Red Bull,,Comfy Newnham pub,Anyone (public),Bar,,"11 Barton Road, Cambridge",Ground,52.1963547,0.1054593,11:00-23:00,no,,yes,,,,https://www.facebook.com/redbullnewnham,,,,,x,x,,,x,x,,,Music playing,,,,,,,,x,,,,x,,,x,,x,,,,x,,x,x,x,,2,,,no,yes,yes,no,,,,"noise, busy, food and drink"
,Cambridge Judge Business School Cafe,,"Situated on the first floor of Cambridge Judge Business School, this cafe offers hot and cold drinks, as well as sandwiches and snacks. An open and light space, it offers tables for working in groups, or alone, as well as some comfy sofa seating.",Members of the University,Café,,"Cambridge Judge Business School, Trumpington Street, Cambridge, CB2 1AG",First,52.199512,0.121815,08.30-16.30 (Monday-Friday),no,,yes,http://www.unicen.cam.ac.uk/food-and-drink/places-eat/out-university-centre/cafe-judge-business-school,,,,,,,,x,,x,x,,x,x,,Animated discussion,,,,,,,,x,x,x,,x,,,x,x,x,,,,,,x,x,x,,2,,,yes,yes,yes,yes,,,,"food and drink, noise, busy, coffee, snacks, light, group work, comfy seating, sofas, toilets, disabled access, modern, wifi"
